player,cost,country,position,mins,tackles,d_tackles,t_breaks,m_ball,mom,tries,conversions,penalties,d_goals,yellow,red,started,week,m_played
T. Curry,15.2,England,Back Row,80,15,1,2,40,,,,,,,,1,1,1
A. Vincent,16.3,France,Centre,80,15,,5,100,,1,,,,,,1,1,1
E. Daly,15.2,England,Full Back,80,1,,3,85,,,,,,,,1,1,1
O. Farrell,14.9,England,Centre,80,5,,1,38,,,,2,,,,1,1,1
J. Hill,12.1,England,Second Row,80,19,1,,5,,,,,,,,1,1,1
G. Villiere,12.5,France,Wing,80,5,,4,72,,,,,,,,1,1,1
J. Lowe,14,Ireland,Wing,80,1,,2,155,,,,,,,,1,1,1
M. Itoje,14.7,England,Second Row,80,13,2,,15,,,,,,,,1,1,1
H. Slade,14.7,England,Centre,80,7,,,47,,,,,,,,1,1,1
M. Wilson,12.3,England,Back Row,52,16,1,,7,,,,,,,,1,1,1
E. Genge,11,England,Prop,71,15,,1,7,,,,,,,,1,1,1
W. Stuart,10.1,England,Prop,62,13,1,,12,,,,,,,,1,1,1
B. Dulin,15.5,France,Full Back,80,8,,3,92,,1,,,,,,1,1,1
D. Cretin,11.5,France,Back Row,80,10,,1,39,,1,,,,,,1,1,1
B. Youngs,13.7,England,Scrum Half,55,5,,,25,,,,,,,,1,1,1
S. Hogg,17.3,Scotland,Full Back,80,,,8,112,1,,,,,,,1,1,1
T. Thomas,17.5,France,Wing,80,2,,7,95,,2,,,,,,1,1,1
J. May,14.1,England,Wing,80,4,,,25,,,,,,,,1,1,1
A. Watson,13.3,England,Wing,75,4,,1,17,,,,,,,,1,1,1
H. Keenan,13.5,Ireland,Full Back,80,5,1,3,122,,,,,,,,1,1,1
G. Ringrose,15.9,Ireland,Centre,80,4,,5,113,,,,,,,,1,1,1
C. Redpath,11,Scotland,Centre,80,5,,2,52,,,,,,,,1,1,1
J. George,13.5,England,Hooker,55,7,,,8,,,,,,,,1,1,1
L. Cowan-Dickie,12,England,Hooker,25,1,,1,15,,,,,,,,0,1,1
B. Vunipola,13.4,England,Back Row,57,8,,1,10,,,,,,1,,1,1,1
M. Jalibert,15.1,France,Fly Half,59,6,,2,39,,,6,1,,,,1,1,1
T. Beirne,12.6,Ireland,Second Row,80,9,,1,85,,1,,,,,,1,1,1
R. Henshaw,15.9,Ireland,Centre,70,6,,4,99,,,,,,,,1,1,1
B. Earl,10.2,England,Back Row,13,3,,1,5,,,,,,,,0,1,1
C. Lawes,13.9,England,Second Row,28,4,,,9,,,,,,,,0,1,1
J. Gray,14,Scotland,Second Row,80,12,,1,52,,,,,,,,1,1,1
H. Williams,9.2,England,Prop,18,6,,,,,,,,,,,0,1,1
H. Watson,16.4,Scotland,Back Row,80,10,1,4,52,,,,,,,,1,1,1
O. Lawrence,8.8,England,Centre,69,5,,,2,,,,,,,,1,1,1
B. Obano,8.2,England,Prop,9,4,,,1,,,,,,,,0,1,1
C. Stander,15.9,Ireland,Back Row,80,10,,2,84,,,,,,,,1,1,1
D. Robson,8.9,England,Scrum Half,25,1,,,,,,,,,,,0,1,1
M. Ioane,11.8,Italy,Wing,80,2,,6,136,,,,,,,,1,1,1
K. Owens,12.4,Wales,Hooker,80,18,2,,40,,,,,,,,1,1,1
M. Malins,9,England,Fly Half,5,,,,,,,,,,,,0,1,1
G. North,17,Wales,Wing,80,8,1,5,85,,1,,,,,,1,1,1
B. le Roux,14.2,France,Second Row,80,15,1,,4,,,,,,,,1,1,1
P. Garbisi,11.8,Italy,Fly Half,75,4,,4,117,,,1,1,,,,1,1,1
M. Fagerson,13.8,Scotland,Back Row,63,2,,2,64,,,,,,,,1,1,1
D. van der Merwe,15.4,Scotland,Wing,80,1,1,5,39,,1,,,,,,1,1,1
A. Dupont,17.8,France,Scrum Half,59,3,1,2,80,1,1,,,,,,1,1,1
S. Maitland,13,Scotland,Wing,71,2,,2,44,,,,,,,,1,1,1
J. Brex,8.2,Italy,Centre,80,10,,1,131,,,,,,,,1,1,1
A. Jones,13.8,Wales,Second Row,80,22,1,,27,,,,,,,,1,1,1
G. Turner,11.9,Scotland,Hooker,67,4,,,43,,,,,,,,1,1,1
J. Tipuric,16.3,Wales,Back Row,80,29,,,29,,,,,,,,1,1,1
G. Ford,13.8,England,Fly Half,11,,,,,,,,,,,,0,1,1
L. Halfpenny,13.8,Wales,Full Back,80,4,,3,31,,,1,3,,,,1,1,1
T. Faletau,16,Wales,Back Row,80,20,,1,47,,,,,,,,1,1,1
C. Ollivon,15.1,France,Back Row,80,12,,,8,,,,,,,,1,1,1
B. Burns,9,Ireland,Fly Half,20,2,,,50,,,,1,,,,0,1,1
F. Russell,16.2,Scotland,Fly Half,70,4,1,3,38,,,,2,,1,,1,1,1
C. Harris,15.5,Scotland,Centre,80,5,,1,39,,,,,,,,1,1,1
J. van der Flier,12.6,Ireland,Back Row,60,9,,1,49,,,,,,,,1,1,1
J. Sexton,15.5,Ireland,Fly Half,69,8,,,37,,,1,2,,,,1,1,1
A. Porter,10.2,Ireland,Prop,54,3,,1,43,,,,,,,,1,1,1
J. Navidi,13.8,Wales,Back Row,68,20,2,,20,,,,,,,,0,1,1
G. Alldritt,16.6,France,Back Row,58,10,1,,40,,,,,,,,1,1,1
R. Herring,9.9,Ireland,Hooker,72,9,,,24,,,,,,,,1,1,1
S. Cummings,13.2,Scotland,Second Row,80,8,,,10,,,,,,,,1,1,1
M. Haouas,11.3,France,Prop,52,13,,,7,,,,,,,,1,1,1
P. Willemse,15.1,France,Second Row,58,14,2,,4,,,,,,,,1,1,1
R. Sutherland,12.7,Scotland,Prop,63,3,,1,28,,,,,,,,1,1,1
R. Kelleher,10.6,Ireland,Hooker,8,,1,2,25,,,,,,,,0,1,1
K. Earls,12.8,Ireland,Wing,62,6,,1,24,,,,,,,,1,1,1
W. Jones,14.2,Wales,Prop,66,7,,1,53,1,,,,,,,1,1,1
A. Price,10.3,Scotland,Scrum Half,69,4,,,3,,,,,,,,1,1,1
Z. Fagerson,12.5,Scotland,Prop,63,2,,,26,,,,,,,,1,1,1
T. Francis,10.7,Wales,Prop,66,19,,,,,,,,,,,1,1,1
C. Baille,13.3,France,Prop,52,7,,1,18,,,,,,,,1,1,1
T. Furlong,14.3,Ireland,Prop,26,5,,2,26,,,,,,,,0,1,1
G. Fickou,15.4,France,Centre,59,6,,,18,,1,,,,,,1,1,1
J. Ritchie,15.2,Scotland,Back Row,65,3,,,23,,,,,,,,1,1,1
L. Rees-Zammit,13.3,Wales,Wing,80,8,,,31,,1,,,,,,1,1,1
D. Biggar,15.3,Wales,Fly Half,80,11,,1,17,,,,,,,,1,1,1
P. Bourgarit,8.4,France,Hooker,35,3,,1,21,,,,,,,,0,1,1
J. Marchand,12,France,Hooker,45,9,,,5,,,,,,,,1,1,1
N. Tompkins,15.6,Wales,Centre,56,7,,2,36,,,,,,,,0,1,1
L. Sperandio,9.2,Italy,Wing,80,3,,,52,,1,,,,,,1,1,1
J. Trulla,8.1,Italy,Full Back,80,2,,1,96,,,,,,,,1,1,1
A. Beard,9.9,Wales,Second Row,66,12,,,3,,,,,,,,1,1,1
J. Ryan,14.3,Ireland,Second Row,24,7,,,25,,,,,,,,1,1,1
I. Henderson,12.7,Ireland,Second Row,56,3,,,32,,,,,,,,0,1,1
T. Williams,11.8,Wales,Scrum Half,40,9,,2,20,,,,,,,,1,1,1
M. Lamaro,7,Italy,Back Row,80,11,1,,57,,,,,,,,1,1,1
J. Meyer,6.2,Italy,Back Row,50,3,,1,58,,,,,,,,1,1,1
D. Kilcoyne,10.1,Ireland,Prop,29,2,,,25,,,,,,,,0,1,1
W. Connors,10.2,Ireland,Back Row,20,2,2,,11,,,,,,,,0,1,1
J. Larmour,13.1,Ireland,Wing,18,1,,2,14,,,,,,,,0,1,1
G. Graham,10.5,Scotland,Back Row,17,4,,,20,,,,,,,,0,1,1
H. Amos,10.3,Wales,Full Back,66,1,,1,24,,,,,,,,1,1,1
S. Negri,11.8,Italy,Back Row,59,7,,1,46,,,,,,,,1,1,1
C. Murray,12.2,Ireland,Scrum Half,72,4,,,13,,,,,,,,1,1,1
D. Cherry,8.6,Scotland,Hooker,13,7,,,4,,,,,,,,0,1,1
C. Healy,12.6,Ireland,Prop,51,4,,,11,,,,,,,,1,1,1
J. Gibson-Park,9.1,Ireland,Scrum Half,8,,,,12,,,,,,,,0,1,1
C. Canna,9.7,Italy,Fly Half,41,3,,,32,,,,,,,,0,1,1
G. Palazzani,7.1,Italy,Scrum Half,5,,,,13,,,,,,,,0,1,1
M. Riccioni,5.9,Italy,Prop,31,3,,,22,,,,,,,,1,1,1
L. Carbonel,10.2,France,Fly Half,21,1,,1,33,,,,,,,,0,1,1
L. Bigi,10.5,Italy,Hooker,59,7,1,,22,,,,,,,,1,1,1
F. Ruzza,6.9,Italy,Second Row,21,2,,,11,,,,,,,,0,1,1
R. Gray,12.3,Scotland,Second Row,15,6,,,1,,,,,,,,0,1,1
M. Mbanda,8.9,Italy,Back Row,25,2,,,13,,,,,,,,0,1,1
N. Cannone,7.9,Italy,Second Row,21,2,,,6,,,,,,,,0,1,1
M. Zanon,6.8,Italy,Centre,44,,,,30,,,,,,,,1,1,1
D. Rimpelli,5.8,Italy,Prop,31,1,,,16,,,,,,,,0,1,1
J. Williams,11.6,Wales,Centre,24,4,,1,23,,,,,,,,1,1,1
W. Nel,11.2,Scotland,Prop,17,4,,,2,,,,,,,,0,1,1
S. Varney,6.6,Italy,Scrum Half,80,3,,3,28,,,,,,,,1,1,1
G. Lucchesi,5.8,Italy,Hooker,21,3,,,,,,,,,,,0,1,1
G. Zilocchi,6.7,Italy,Prop,49,3,,1,14,,,,,,,,0,1,1
O. Kebble,9.3,Scotland,Prop,17,1,,,5,,,,,,,,0,1,1
J. Gros,9.9,France,Prop,28,4,,,4,,,,,,,,0,1,1
D. Sisi,7.6,Italy,Second Row,59,5,,1,12,,,,,,,,1,1,1
A. Jelonch,10.6,France,Back Row,22,3,,,14,,,,,,,,0,1,1
G. Davies,12.1,Wales,Scrum Half,40,3,,,9,,,,,,,,0,1,1
M. Lazzaroni,5.5,Italy,Second Row,80,5,1,,26,,,,,,,,1,1,1
R. Taofifenua,11.5,France,Second Row,22,2,,1,6,,,,,,,,0,1,1
B. Serin,13.4,France,Scrum Half,21,3,,,10,,,,,,,,0,1,1
R. Jones,8.6,Wales,Prop,14,8,1,,,,,,,,,,0,1,1
H. Jones,10.1,Scotland,Centre,9,1,,,,,,,,,,,0,1,1
W. Rowlands,11.4,Wales,Second Row,14,8,,,,,,,,,,,0,1,1
S. Steele,7.1,Scotland,Scrum Half,11,1,,,,,,,,,,,0,1,1
D. Penaud,14.2,France,Wing,21,3,,,,,,,,,,,0,1,1
L. Brown,8.5,Wales,Prop,14,8,,,,,,,,,,,0,1,1
D. Lydiate,11.3,Wales,Back Row,12,7,,,,,,,,,,,1,1,1
D. Aldegheri,7.6,France,Prop,28,1,,,,,,,,,,,0,1,1
P. O'Mahony,12.5,Ireland,Back Row,14,4,,,,,,,,,,1,1,1,1
D. Fischetti,5.6,Italy,Prop,49,2,,,8,,,,,,,,0,1,1
C. Sheedy,8.2,Wales,Fly Half,14,3,,,,,,,,,,,0,1,1
J. van der Walt,9.6,Scotland,Fly Half,9.6,0,,,,,,,,,,,0,1,1
E. Dee,9.8,Wales,Hooker,9.8,0,,,,,,,,,,,0,1,1